Model,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,auc_roc
Stacking (Improved),0.759,0.6998,0.8163,0.5833,0.8571,0.8362,0.3826,0.7868
SVM_RBF,0.7436,0.7317,0.7551,0.7083,0.888,0.8162,0.4162,
KNN,0.8103,0.7128,0.9048,0.5208,0.8526,0.8779,0.4583,
Random_Forest,0.7744,0.717,0.8299,0.6042,0.8652,0.8472,0.4179,
Logistic_L1,0.7795,0.7625,0.7959,0.7292,0.9,0.8448,0.4798,
Logistic_L2,0.7692,0.7838,0.7551,0.8125,0.925,0.8315,0.5026,
