,SVM_RBF_prob,SVM_RBF_pred,SVM_RBF_conf,KNN_prob,KNN_pred,KNN_conf,Random_Forest_prob,Random_Forest_pred,Random_Forest_conf,Logistic_L1_prob,Logistic_L1_pred,Logistic_L1_conf,Logistic_L2_prob,Logistic_L2_pred,Logistic_L2_conf
Fold 1,0.1807541522601506,0.34129445605267955,-0.5571739380218906,0.6809937593080763,-1.200687196498108,0.20632103674507196,0.05999316792522682,-0.3851551774024387,0.44593509194159275,1.5636389038672245,0.8612253271164558,-0.6165923468628667,1.8154441378907518,0.12200493095252334,0.03766581506743827
Fold 2,-0.11658010650830063,0.11236356824473803,-0.12603010762522826,-1.4840822257363344,-0.8080477839904557,0.3759665927508341,-1.3788101856016675,-0.346680873272846,-0.33630676933948855,1.2718000432999221,0.960332292945941,-0.5059937508771727,2.2916281420301807,1.6311863810742346,1.0012659469787333
Fold 3,-0.24678203452993513,0.509012018013112,-0.37612789027832133,-0.6048207774530974,0.41997819611785203,0.15378977010577752,-0.3894172316829748,0.6570602332260795,-0.049822419906250054,1.27210809248126,1.0138474109874627,-0.6741843483071127,1.0133566501031566,-0.07973680940611125,-0.05551494974177623
Fold 4,0.6874625295485893,-0.6124743719834639,-0.5219480243229044,-0.3867511924311293,1.1517533681198495,0.06780076783607113,-1.1138525300237716,-0.6987926215655302,-0.3103388222497775,0.9946422098814104,-0.485946407675956,-0.2521645899850533,2.788344250523918,1.355299991701309,0.4563800200654496
Fold 5,-0.0006642306123369572,-0.4044137051119056,0.13977651085027326,0.5165370688737351,-2.045235441820627,1.640213173192742,-0.9063217204923012,-0.5562840449985831,-0.12737171480541853,1.5945743104394423,0.184604282478724,-0.49005009838110386,2.0762454189202315,0.7431723515599957,0.07532967497938568
Mean,0.10083806203163344,-0.010843606956967965,-0.28830068987961427,-0.25562467348775,-0.4964477716142978,0.4888182681260994,-0.7456816999750976,-0.2659704968026637,-0.07558092687186838,1.3393527119938518,0.5068125811705255,-0.5077970268826618,1.9970037198936477,0.7543853691763903,0.30302530146984613
Std,0.3636371661160614,0.48121930911032046,0.29333400298926365,0.8834206084435381,1.2794720135676474,0.6534045920833795,0.5784122707325556,0.5348648963727594,0.31560021334262184,0.24665405548351427,0.6476421542384797,0.16216296621778342,0.6557110781675473,0.7459338035718792,0.43642574850761573
