Model,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,auc_roc
SVM_RBF,0.0953,0.1223,0.1281,0.2357,0.0903,0.0887,0.2019,0.1368
SVM_Linear,0.1234,0.1778,0.124,0.3162,0.1048,0.1047,0.3135,0.1764
KNN,0.0398,0.1472,0.0324,0.3266,0.0755,0.0279,0.27,0.0552
Random_Forest,0.0886,0.1793,0.0697,0.359,0.088,0.0618,0.3321,0.0694
Logistic_L1,0.1127,0.1539,0.146,0.3055,0.0842,0.0998,0.2815,0.1274
Logistic_L2,0.1217,0.1498,0.1415,0.2494,0.0851,0.1119,0.2625,0.1379
