feature,avg_ranking,times_selected
MDVP:APQ,1.0,5
spread1,1.2,4
Jitter:DDP,2.0,4
D2,2.2,4
MDVP:Jitter(Abs),2.6,3
spread2,2.8,2
MDVP:RAP,2.8,4
PPE,3.0,3
MDVP:Jitter(%),3.2,3
MDVP:PPQ,3.6,3
MDVP:Shimmer,4.0,1
Shimmer:APQ5,4.4,2
HNR,4.4,2
NHR,4.8,3
MDVP:Shimmer(dB),5.8,1
Shimmer:DDA,6.0,1
MDVP:Fo(Hz),6.4,2
RPDE,6.6,1
Shimmer:APQ3,6.8,0
DFA,7.6,1
MDVP:Flo(Hz),7.8,1
MDVP:Fhi(Hz),11.0,0
