Model,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,auc_roc
SVM_RBF,0.7112,0.6706,0.7579,0.5833,0.8447,0.7925,0.3118,0.8123
SVM_Linear,0.7512,0.7193,0.7719,0.6667,0.8824,0.8197,0.392,0.8403
KNN,0.8211,0.7175,0.9184,0.5167,0.8595,0.885,0.4267,0.9127
Random_Forest,0.7789,0.6776,0.872,0.4833,0.844,0.8546,0.3311,0.8862
Logistic_L1,0.7601,0.7368,0.7737,0.7,0.8991,0.8236,0.43,0.871
Logistic_L2,0.7716,0.7558,0.7784,0.7333,0.9005,0.8298,0.4629,0.8671
