threshold,sensitivity,specificity,balanced_accuracy,precision,f1,mcc,accuracy
0.1,1.0,0.0,0.5,0.7538461538461538,0.8596491228070176,0.0,0.7538461538461538
0.15,1.0,0.0625,0.53125,0.765625,0.8672566371681416,0.21875,0.7692307692307693
0.2,0.9591836734693877,0.22916666666666666,0.5941751700680272,0.7921348314606742,0.8676923076923077,0.2876148019538974,0.7794871794871795
0.25,0.9047619047619048,0.4583333333333333,0.6815476190476191,0.8364779874213837,0.869281045751634,0.40313455607338994,0.7948717948717948
0.3,0.8843537414965986,0.5625,0.7234268707482994,0.8609271523178808,0.87248322147651,0.460500252640468,0.8051282051282052
0.35,0.8571428571428571,0.625,0.7410714285714286,0.875,0.865979381443299,0.4725945283594533,0.8
0.4,0.8367346938775511,0.7083333333333334,0.7725340136054422,0.8978102189781022,0.8661971830985915,0.5136363054712402,0.8051282051282052
0.45,0.8231292517006803,0.7291666666666666,0.7761479591836735,0.9029850746268657,0.8612099644128114,0.5131375579688952,0.8
0.5,0.7959183673469388,0.7291666666666666,0.7625425170068028,0.9,0.8447653429602888,0.4798224586623001,0.7794871794871795
0.55,0.782312925170068,0.7291666666666666,0.7557397959183674,0.8984375,0.8363636363636363,0.46394362320284654,0.7692307692307693
0.6,0.7687074829931972,0.7291666666666666,0.748937074829932,0.8968253968253969,0.8278388278388278,0.4485274692826181,0.7589743589743589
0.65,0.7074829931972789,0.7291666666666666,0.7183248299319728,0.8888888888888888,0.7878787878787878,0.38394779698387116,0.7128205128205128
0.7,0.6394557823129252,0.8333333333333334,0.7363945578231292,0.9215686274509803,0.7550200803212851,0.40776054002420925,0.6871794871794872
0.75,0.5714285714285714,0.8541666666666666,0.7127976190476191,0.9230769230769231,0.7058823529411765,0.3674842076295835,0.6410256410256411
0.8,0.41496598639455784,0.9791666666666666,0.6970663265306123,0.9838709677419355,0.583732057416268,0.3645860417365995,0.5538461538461539
0.85,0.027210884353741496,1.0,0.5136054421768708,1.0,0.052980132450331126,0.08269424060484819,0.26666666666666666
0.9,0.0,1.0,0.5,0.0,0.0,0.0,0.24615384615384617
