threshold,metric,mean,std
0.25,accuracy,0.796010296010296,0.06883953215092065
0.25,balanced_accuracy,0.6778602150537635,0.16541483744579666
0.25,sensitivity,0.905720430107527,0.05708160501572493
0.25,specificity,0.45,0.3205897343611891
0.25,precision,0.8419672154966273,0.07510875691189452
0.25,f1,0.8703284019926443,0.041556350335756845
0.25,mcc,0.3763286367747485,0.33714526875912165
0.25,auc_roc,0.866057347670251,0.12385934645306661
