metric,mean,std
accuracy,0.7613899613899614,0.058904742769440695
balanced_accuracy,0.7008494623655913,0.1378892675658236
sensitivity,0.8183655913978495,0.09771603806577063
specificity,0.5833333333333333,0.31180478223116176
precision,0.8634709653092006,0.0791314349920748
f1,0.8354211937300173,0.053953515016182944
mcc,0.37336503578195657,0.22402328517963196
auc_roc,0.8175125448028673,0.11956935889341415
