,SVM_RBF_prob,SVM_RBF_pred,SVM_RBF_conf,Random_Forest_prob,Random_Forest_pred,Random_Forest_conf,Logistic_L1_prob,Logistic_L1_pred,Logistic_L1_conf,Logistic_L2_prob,Logistic_L2_pred,Logistic_L2_conf
Fold 1,-0.19814565571662746,0.21853427942010947,-0.442710866128603,-0.04999674841613219,-0.55762575098626,0.6222873227469398,1.4397265375662482,1.1002015283520048,-0.4990805513949096,1.735147632563864,0.24262206783200785,0.16225016859663305
Fold 2,-0.6181767821326517,-0.13461200247455452,0.040383466240274876,-1.5398332875588805,-0.3971343751233023,-0.36245736523765365,1.0537418040786368,0.8396157167941604,-0.3636538018648373,2.1155927479152914,1.5419391441223158,1.1231872050210947
Fold 3,-0.20319669562116166,0.48772005107105443,-0.3964688568930635,-0.404926868030521,0.6783688838553282,-0.08822059042053465,1.305315228792785,1.010614138700135,-0.7446426187204718,1.0349082754250805,-0.10962299796593636,-0.12246081586328358
Fold 4,0.8510980073296682,-0.45958556793929767,-0.4544526275739376,-1.028326857932709,-0.6652750554468635,-0.29306866647198165,1.1676065215624332,-0.21736547818324556,-0.4740114754273664,2.907706584885164,1.327572610296467,0.262279406420481
Fold 5,-0.20835211127538555,-0.3668806156833643,0.5003523750923329,-1.2194881217639737,-0.5320015748641281,0.3697959847321112,1.6031553280751958,0.1886061333265643,-0.32281483848060355,2.2090480192060102,0.9167837000144929,0.124950721662346
Mean,-0.07535464748323162,-0.050964771121210506,-0.15057930185259924,-0.8485143767404434,-0.29473357451304516,0.049667337069776205,1.3139090840150598,0.5843344077979239,-0.4808406571776377,2.000480651999082,0.7838589048598694,0.31004133716745425
Std,0.5481970306891134,0.398930354715498,0.41782782011772607,0.6087438223449686,0.5522960501357597,0.4291572607956107,0.21717431305192636,0.5727838632870064,0.16483000698541933,0.6860287275683594,0.7034249192770767,0.47608987656427365
