metric,mean,std
accuracy,0.7810810810810811,0.13266917165227426
balanced_accuracy,0.7490752688172042,0.18705868169879217
sensitivity,0.7981505376344086,0.15212827832160014
specificity,0.7,0.34156502553198664
precision,0.8979807692307693,0.09492508140571518
f1,0.8400227038183695,0.11740216123316542
mcc,0.45297990019791917,0.3335861313483517
auc_roc,0.866057347670251,0.12385934645306661
