Model,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,auc_roc
SVM_RBF,0.7903,0.6418,0.9335,0.35,0.8153,0.8665,0.3041,0.6078
SVM_Linear,0.7722,0.6474,0.8948,0.4,0.8252,0.8505,0.3352,0.6875
KNN,0.7512,0.6086,0.884,0.3333,0.8073,0.8404,0.216,0.7529
Random_Forest,0.804,0.6753,0.934,0.4167,0.8316,0.8765,0.3662,0.8333
Logistic_L1,0.7906,0.6879,0.8924,0.4833,0.8477,0.8639,0.379,0.7425
Logistic_L2,0.7906,0.6886,0.8939,0.4833,0.8479,0.864,0.3847,0.75
